,Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
2258,Deschutes Valley Water District,Chromium (hexavalent),1.10 ppb,0.02 ppb,
2259,Deschutes Valley Water District,Barium,1.50 ppb,700 ppb,"2,000 ppb"
2260,Deschutes Valley Water District,Chromium (total),1.06 ppb,,100 ppb
2261,Deschutes Valley Water District,Nitrate,0.0967 ppm,0.14 ppm,10 ppm
2262,Deschutes Valley Water District,Nitrate and nitrite,0.220 ppm,0.14 ppm,10 ppm
2263,Deschutes Valley Water District,Strontium,0.0273 ppb,"1,500 ppb",
2264,Deschutes Valley Water District,Vanadium,17.3 ppb,21 ppb,
2265,Deschutes Valley Water District,None,,,
2266,"Madras, City Of",Arsenic,7.00 ppb,0.004 ppb,10 ppb
2267,"Madras, City Of",Chromium (hexavalent),1.11 ppb,0.02 ppb,
2268,"Madras, City Of",Nitrate,0.470 ppm,0.14 ppm,10 ppm
2269,"Madras, City Of",Nitrate and nitrite,0.690 ppm,0.14 ppm,10 ppm
2270,"Madras, City Of",Barium,10.00 ppb,700 ppb,"2,000 ppb"
2271,"Madras, City Of",Chromium (total),1.24 ppb,,100 ppb
2272,"Madras, City Of",Fluoride,0.280 ppm,,4 ppm
2273,"Madras, City Of",Strontium,0.0234 ppb,"1,500 ppb",
2274,"Madras, City Of",Vanadium,17.4 ppb,21 ppb,
2275,"Madras, City Of",None,,,
2276,Metolius Meadows Prop Owners,None,,,
2277,"Sheridan, City of",Haloacetic acids (HAA5)†,11.0 ppb,0.1 ppb,60 ppb
2278,"Sheridan, City of","Radium, combined (-226 &amp; -228)",1.40 pCi/L,0.05 pCi/L,5 pCi/L
2279,"Sheridan, City of",Total trihalomethanes (TTHMs)†,18.7 ppb,0.15 ppb,80 ppb
2280,"Sheridan, City of",Nitrate,0.0303 ppm,0.14 ppm,10 ppm
2281,"Sheridan, City of",Pentachlorophenol,0.0122 ppb,0.3 ppb,1 ppb
2282,"Sheridan, City of",None,,,
2283,"Lafayette, City of",Haloacetic acids (HAA5)†,24.6 ppb,0.1 ppb,60 ppb
2284,"Lafayette, City of",Nitrate,0.903 ppm,0.14 ppm,10 ppm
2285,"Lafayette, City of",Nitrate and nitrite,0.788 ppm,0.14 ppm,10 ppm
2286,"Lafayette, City of",Total trihalomethanes (TTHMs)†,65.0 ppb,0.15 ppb,80 ppb
2287,"Lafayette, City of",Barium,6.65 ppb,700 ppb,"2,000 ppb"
2288,"Lafayette, City of",Dichloromethane (methylene chloride),0.167 ppb,4 ppb,5 ppb
2289,"Lafayette, City of",Ethylbenzene,1.16 ppb,300 ppb,700 ppb
2290,"Lafayette, City of",Nitrite,0.00158 ppm,,1 ppm
2291,"Lafayette, City of",Toluene,1.02 ppb,150 ppb,"1,000 ppb"
2292,"Lafayette, City of",Xylenes (total),7.56 ppb,"1,800 ppb","10,000 ppb"
2293,"Lafayette, City of",None,,,
2294,"Dundee, City of",Nitrate,0.547 ppm,0.14 ppm,10 ppm
2295,"Dundee, City of",Nitrate and nitrite,0.556 ppm,0.14 ppm,10 ppm
2296,"Dundee, City of","Radium, combined (-226 &amp; -228)",0.16 pCi/L,0.05 pCi/L,5 pCi/L
2297,"Dundee, City of",Total trihalomethanes (TTHMs)†,2.73 ppb,0.15 ppb,80 ppb
2298,"Dundee, City of",Barium,2.44 ppb,700 ppb,"2,000 ppb"
2299,"Dundee, City of",Fluoride,0.0500 ppm,,4 ppm
2300,"Dundee, City of",Haloacetic acids (HAA5)†,0.120 ppb,0.1 ppb,60 ppb
2301,"Dundee, City of",Nitrite,0.00200 ppm,,1 ppm
2302,"Dundee, City of",None,,,
2303,Aldridge Ditch Company Ws,Total trihalomethanes (TTHMs)*†,1.30 ppb,0.15 ppb,80 ppb
2304,Aldridge Ditch Company Ws,Barium*,0.700 ppb,700 ppb,"2,000 ppb"
2305,Aldridge Ditch Company Ws,Xylenes (total)*,0.250 ppb,"1,800 ppb","10,000 ppb"
2306,Aldridge Ditch Company Ws,None,,,
2307,"Cascade Locks, City of",Total trihalomethanes (TTHMs)†,1.89 ppb,0.15 ppb,80 ppb
2308,"Cascade Locks, City of",None,,,
2309,1485 Limited Crystal Springs Water Company,Barium,119.5 ppb,700 ppb,"2,000 ppb"
2310,1485 Limited Crystal Springs Water Company,Nitrate,0.0333 ppm,0.14 ppm,10 ppm
2311,1485 Limited Crystal Springs Water Company,Nitrate and nitrite,0.0500 ppm,0.14 ppm,10 ppm
2312,1485 Limited Crystal Springs Water Company,None,,,
2313,"Hood River, City of",Total trihalomethanes (TTHMs)†,1.30 ppb,0.15 ppb,80 ppb
2314,"Hood River, City of",Barium,0.700 ppb,700 ppb,"2,000 ppb"
2315,"Hood River, City of",Xylenes (total),0.250 ppb,"1,800 ppb","10,000 ppb"
2316,"Hood River, City of",None,,,
2317,Ice Fountain Water District,Barium,0.500 ppb,700 ppb,"2,000 ppb"
2318,Ice Fountain Water District,None,,,
2319,Odell Water Company,Nitrate,4.98 ppm,0.14 ppm,10 ppm
2320,Odell Water Company,Nitrate and nitrite,5.55 ppm,0.14 ppm,10 ppm
2321,Odell Water Company,Total trihalomethanes (TTHMs)†,1.72 ppb,0.15 ppb,80 ppb
2322,Odell Water Company,Barium,5.30 ppb,700 ppb,"2,000 ppb"
2323,Odell Water Company,Chromium (total),1.60 ppb,,100 ppb
2324,Odell Water Company,Styrene,0.170 ppb,0.5 ppb,100 ppb
2325,Odell Water Company,None,,,
2326,Parkdale Water Company Inc.,Nitrate,1.43 ppm,0.14 ppm,10 ppm
2327,Parkdale Water Company Inc.,None,,,
2328,City of Grants Pass,Chromium (hexavalent),0.182 ppb,0.02 ppb,
2329,City of Grants Pass,Haloacetic acids (HAA5)†,38.3 ppb,0.1 ppb,60 ppb
2330,City of Grants Pass,Haloacetic acids (HAA9)†,42.6 ppb,0.06 ppb,
2331,City of Grants Pass,Total trihalomethanes (TTHMs)†,42.8 ppb,0.15 ppb,80 ppb
2332,City of Grants Pass,Barium,5.20 ppb,700 ppb,"2,000 ppb"
2333,City of Grants Pass,Beryllium,0.150 ppb,1 ppb,4 ppb
2334,City of Grants Pass,Chlorate,298.8 ppb,210 ppb,
2335,City of Grants Pass,Chromium (total),0.125 ppb,,100 ppb
2336,City of Grants Pass,Manganese,1.23 ppb,100 ppb,
2337,City of Grants Pass,Nitrate,0.208 ppm,0.14 ppm,10 ppm
2338,City of Grants Pass,Nitrate and nitrite,0.163 ppm,0.14 ppm,10 ppm
2339,City of Grants Pass,Strontium,0.0774 ppb,"1,500 ppb",
2340,City of Grants Pass,Vanadium,2.11 ppb,21 ppb,
2341,City of Grants Pass,None,,,
2342,"Cave Junction, City of",Haloacetic acids (HAA5)†,19.0 ppb,0.1 ppb,60 ppb
2343,"Cave Junction, City of",Nitrate,0.396 ppm,0.14 ppm,10 ppm
2344,"Cave Junction, City of",Total trihalomethanes (TTHMs)†,17.8 ppb,0.15 ppb,80 ppb
2345,"Cave Junction, City of",None,,,
2346,Rogue Lea Estates-north/south,Barium,3.88 ppb,700 ppb,"2,000 ppb"
2347,Rogue Lea Estates-north/south,Nitrate,0.238 ppm,0.14 ppm,10 ppm
2348,Rogue Lea Estates-north/south,None,,,
2349,Willow Estates Mobile Home Park,Nitrate,1.05 ppm,0.14 ppm,10 ppm
2350,Willow Estates Mobile Home Park,Uranium,0.74 pCi/L,0.43 pCi/L,20 pCi/L
2351,Willow Estates Mobile Home Park,None,,,
2352,Ilpo Redwood Mobile Home Park Llc,Arsenic*,0.167 ppb,0.004 ppb,10 ppb
2353,Ilpo Redwood Mobile Home Park Llc,Bromodichloromethane,4.51 ppb,0.06 ppb,
2354,Ilpo Redwood Mobile Home Park Llc,Chlorate*,627.5 ppb,210 ppb,
2355,Ilpo Redwood Mobile Home Park Llc,Chloroform,23.9 ppb,0.4 ppb,
2356,Ilpo Redwood Mobile Home Park Llc,Dibromochloromethane,0.577 ppb,0.1 ppb,
2357,Ilpo Redwood Mobile Home Park Llc,Dichloroacetic acid,20.6 ppb,0.2 ppb,
2358,Ilpo Redwood Mobile Home Park Llc,Haloacetic acids (HAA5)†,29.7 ppb,0.1 ppb,60 ppb
2359,Ilpo Redwood Mobile Home Park Llc,Haloacetic acids (HAA9)*†,14.2 ppb,0.06 ppb,
2360,Ilpo Redwood Mobile Home Park Llc,Nitrate*,4.49 ppm,0.14 ppm,10 ppm
2361,Ilpo Redwood Mobile Home Park Llc,Total trihalomethanes (TTHMs)†,29.0 ppb,0.15 ppb,80 ppb
2362,Ilpo Redwood Mobile Home Park Llc,Trichloroacetic acid,3.83 ppb,0.1 ppb,
2363,Ilpo Redwood Mobile Home Park Llc,"1,4-Dioxane*",0.0250 ppb,0.35 ppb,
2364,Ilpo Redwood Mobile Home Park Llc,Aluminum*,90.0 ppb,600 ppb,
2365,Ilpo Redwood Mobile Home Park Llc,Atrazine*,0.0273 ppb,0.1 ppb,3 ppb
2366,Ilpo Redwood Mobile Home Park Llc,Chromium (hexavalent)*,0.00375 ppb,0.02 ppb,
2367,Ilpo Redwood Mobile Home Park Llc,Chromium (total)*,0.0857 ppb,,100 ppb
2368,Ilpo Redwood Mobile Home Park Llc,Dibromoacetic acid*,0.0571 ppb,0.04 ppb,
2369,Ilpo Redwood Mobile Home Park Llc,Fluoride*,0.822 ppm,,4 ppm
2370,Ilpo Redwood Mobile Home Park Llc,Manganese*,2.79 ppb,100 ppb,
2371,Ilpo Redwood Mobile Home Park Llc,Molybdenum*,6.93 ppb,40 ppb,
2372,Ilpo Redwood Mobile Home Park Llc,Monobromoacetic acid,5.30 ppb,25 ppb,
2373,Ilpo Redwood Mobile Home Park Llc,Monochloroacetic acid*,0.329 ppb,53 ppb,
2374,Ilpo Redwood Mobile Home Park Llc,Selenium*,0.333 ppb,30 ppb,50 ppb
2375,Ilpo Redwood Mobile Home Park Llc,Strontium*,0.176 ppb,"1,500 ppb",
2376,Ilpo Redwood Mobile Home Park Llc,Vanadium*,0.438 ppb,21 ppb,
2377,Ilpo Redwood Mobile Home Park Llc,None,,,
2378,Christmas Valley Domestic Ws,Arsenic,3.40 ppb,0.004 ppb,10 ppb
2379,Christmas Valley Domestic Ws,Barium,4.40 ppb,700 ppb,"2,000 ppb"
2380,Christmas Valley Domestic Ws,Fluoride,0.190 ppm,,4 ppm
2381,Christmas Valley Domestic Ws,Nitrate,0.00750 ppm,0.14 ppm,10 ppm
2382,Christmas Valley Domestic Ws,None,,,
2383,"Lakeview, City of",Arsenic,3.83 ppb,0.004 ppb,10 ppb
2384,"Lakeview, City of",Haloacetic acids (HAA5)†,3.58 ppb,0.1 ppb,60 ppb
2385,"Lakeview, City of","Radium, combined (-226 &amp; -228)",0.25 pCi/L,0.05 pCi/L,5 pCi/L
2386,"Lakeview, City of",Total trihalomethanes (TTHMs)†,31.3 ppb,0.15 ppb,80 ppb
2387,"Lakeview, City of",Nitrate,0.114 ppm,0.14 ppm,10 ppm
2388,"Lakeview, City of",None,,,
2389,"Paisley, City of",Arsenic,10.1 ppb,0.004 ppb,10 ppb
2390,"Paisley, City of",Haloacetic acids (HAA5)†,0.783 ppb,0.1 ppb,60 ppb
2391,"Paisley, City of",Nitrate,0.981 ppm,0.14 ppm,10 ppm
2392,"Paisley, City of",Nitrate and nitrite,1.18 ppm,0.14 ppm,10 ppm
2393,"Paisley, City of",Total trihalomethanes (TTHMs)†,5.20 ppb,0.15 ppb,80 ppb
2394,"Paisley, City of",Barium,20.2 ppb,700 ppb,"2,000 ppb"
2395,"Paisley, City of",Chromium (total),1.20 ppb,,100 ppb
2396,"Paisley, City of",Uranium,0.67 pCi/L,0.43 pCi/L,20 pCi/L
2397,"Paisley, City of",None,,,
2398,Westwind Mobile Home,Arsenic,3.00 ppb,0.004 ppb,10 ppb
2399,Westwind Mobile Home,Nitrate,1.58 ppm,0.14 ppm,10 ppm
2400,Westwind Mobile Home,Nitrate and nitrite,1.02 ppm,0.14 ppm,10 ppm
2401,Westwind Mobile Home,"Radium, combined (-226 &amp; -228)",1.48 pCi/L,0.05 pCi/L,5 pCi/L
2402,Westwind Mobile Home,Barium,22.0 ppb,700 ppb,"2,000 ppb"
2403,Westwind Mobile Home,Fluoride,0.0400 ppm,,4 ppm
2404,Westwind Mobile Home,Manganese,146.0 ppb,100 ppb,
2405,Westwind Mobile Home,Mercury (inorganic),0.200 ppb,1.2 ppb,2 ppb
2406,Westwind Mobile Home,Selenium,0.700 ppb,30 ppb,50 ppb
2407,Westwind Mobile Home,None,,,
2408,City of St. Helens,Chromium (hexavalent),0.169 ppb,0.02 ppb,
2409,City of St. Helens,Haloacetic acids (HAA5)†,1.97 ppb,0.1 ppb,60 ppb
2410,City of St. Helens,Haloacetic acids (HAA9)†,5.26 ppb,0.06 ppb,
2411,City of St. Helens,Nitrate,1.63 ppm,0.14 ppm,10 ppm
2412,City of St. Helens,Total trihalomethanes (TTHMs)†,11.9 ppb,0.15 ppb,80 ppb
2413,City of St. Helens,Chlorate,17.6 ppb,210 ppb,
2414,City of St. Helens,Chromium (total),0.178 ppb,,100 ppb
2415,City of St. Helens,Manganese,14.6 ppb,100 ppb,
2416,City of St. Helens,Strontium,0.0608 ppb,"1,500 ppb",
2417,City of St. Helens,Vanadium,9.49 ppb,21 ppb,
2418,City of St. Helens,None,,,
2419,"Scappoose, City of",Haloacetic acids (HAA5)†,3.88 ppb,0.1 ppb,60 ppb
2420,"Scappoose, City of",Nitrate,0.294 ppm,0.14 ppm,10 ppm
2421,"Scappoose, City of",Nitrate and nitrite,0.380 ppm,0.14 ppm,10 ppm
2422,"Scappoose, City of",Total trihalomethanes (TTHMs)†,18.8 ppb,0.15 ppb,80 ppb
2423,"Scappoose, City of",Barium,19.5 ppb,700 ppb,"2,000 ppb"
2424,"Scappoose, City of",Chlorate,78.7 ppb,210 ppb,
2425,"Scappoose, City of",Chromium (hexavalent),0.0189 ppb,0.02 ppb,
2426,"Scappoose, City of",Fluoride,0.790 ppm,,4 ppm
2427,"Scappoose, City of",Manganese,0.925 ppb,100 ppb,
2428,"Scappoose, City of",Strontium,0.0555 ppb,"1,500 ppb",
2429,"Scappoose, City of",Vanadium,1.49 ppb,21 ppb,
2430,"Scappoose, City of",None,,,
2431,"Vernonia, City of",Haloacetic acids (HAA5)†,24.3 ppb,0.1 ppb,60 ppb
2432,"Vernonia, City of",Total trihalomethanes (TTHMs)†,57.2 ppb,0.15 ppb,80 ppb
2433,"Vernonia, City of",Barium,3.05 ppb,700 ppb,"2,000 ppb"
2434,"Vernonia, City of",Nitrate,0.263 ppm,0.14 ppm,10 ppm
2435,"Vernonia, City of",None,,,
2436,"Clatskanie, City of",Haloacetic acids (HAA5)†,32.8 ppb,0.1 ppb,60 ppb
2437,"Clatskanie, City of",Nitrate,0.377 ppm,0.14 ppm,10 ppm
2438,"Clatskanie, City of",Total trihalomethanes (TTHMs)†,24.0 ppb,0.15 ppb,80 ppb
2439,"Clatskanie, City of",None,,,
2440,Mcnulty Water People's Utility District,Arsenic,6.17 ppb,0.004 ppb,10 ppb
2441,Mcnulty Water People's Utility District,Barium,4.59 ppb,700 ppb,"2,000 ppb"
2442,Mcnulty Water People's Utility District,Fluoride,0.240 ppm,,4 ppm
2443,Mcnulty Water People's Utility District,Nitrate,0.0137 ppm,0.14 ppm,10 ppm
2444,Mcnulty Water People's Utility District,None,,,
2445,Warren Water Association,Barium,4.05 ppb,700 ppb,"2,000 ppb"
2446,Warren Water Association,Fluoride,0.160 ppm,,4 ppm
2447,Warren Water Association,Nitrate,0.00438 ppm,0.14 ppm,10 ppm
2448,Warren Water Association,Nitrate and nitrite,0.0254 ppm,0.14 ppm,10 ppm
2449,Warren Water Association,Nitrite,0.0254 ppm,,1 ppm
2450,Warren Water Association,None,,,
2451,Adair Village Water System,Haloacetic acids (HAA5)†,13.2 ppb,0.1 ppb,60 ppb
2452,Adair Village Water System,Total trihalomethanes (TTHMs)†,23.4 ppb,0.15 ppb,80 ppb
2453,Adair Village Water System,Barium,4.00 ppb,700 ppb,"2,000 ppb"
2454,Adair Village Water System,Nitrate,0.0233 ppm,0.14 ppm,10 ppm
2455,Adair Village Water System,Nitrate and nitrite,0.140 ppm,0.14 ppm,10 ppm
2456,Adair Village Water System,None,,,
2457,Alsea County Service District,None,,,
2458,Cascade View Estates,Nitrate,1.12 ppm,0.14 ppm,10 ppm
2459,Cascade View Estates,Di(2-ethylhexyl) phthalate,0.275 ppb,3 ppb,6 ppb
2460,Cascade View Estates,None,,,
2461,Dumbeck Lane Domestic Water Supply District,Haloacetic acids (HAA5)†,25.0 ppb,0.1 ppb,60 ppb
2462,Dumbeck Lane Domestic Water Supply District,Haloacetic acids (HAA9)*†,23.0 ppb,0.06 ppb,
2463,Dumbeck Lane Domestic Water Supply District,"Radium, combined (-226 &amp; -228)*",0.83 pCi/L,0.05 pCi/L,5 pCi/L
2464,Dumbeck Lane Domestic Water Supply District,Total trihalomethanes (TTHMs)†,49.1 ppb,0.15 ppb,80 ppb
2465,Dumbeck Lane Domestic Water Supply District,Chlorate*,93.1 ppb,210 ppb,
2466,Dumbeck Lane Domestic Water Supply District,Chromium (hexavalent)*,0.0384 ppb,0.02 ppb,
2467,Dumbeck Lane Domestic Water Supply District,Chromium (total)*,0.0294 ppb,,100 ppb
2468,Dumbeck Lane Domestic Water Supply District,Manganese*,4.35 ppb,100 ppb,
2469,Dumbeck Lane Domestic Water Supply District,Nitrate*,0.127 ppm,0.14 ppm,10 ppm
2470,Dumbeck Lane Domestic Water Supply District,Strontium*,0.0263 ppb,"1,500 ppb",
2471,Dumbeck Lane Domestic Water Supply District,Vanadium*,0.453 ppb,21 ppb,
2472,Fir View Water Company,Total trihalomethanes (TTHMs)†,3.46 ppb,0.15 ppb,80 ppb
2473,Fir View Water Company,Nitrate,0.0129 ppm,0.14 ppm,10 ppm
2474,Fir View Water Company,Nitrate and nitrite,0.1000 ppm,0.14 ppm,10 ppm
2475,Fir View Water Company,Nitrite,0.01000 ppm,,1 ppm
2476,Fir View Water Company,None,,,
2477,Jackson Creek Water Association,Haloacetic acids (HAA5)†,8.53 ppb,0.1 ppb,60 ppb
2478,Jackson Creek Water Association,Tetrachloroethylene (perchloroethylene),0.323 ppb,0.06 ppb,5 ppb
2479,Jackson Creek Water Association,Total trihalomethanes (TTHMs)†,53.2 ppb,0.15 ppb,80 ppb
2480,Jackson Creek Water Association,Fluoride,0.236 ppm,,4 ppm
2481,Jackson Creek Water Association,None,,,
2482,Knoll Terrace Park,Arsenic,2.00 ppb,0.004 ppb,10 ppb
2483,Knoll Terrace Park,Haloacetic acids (HAA5)†,0.900 ppb,0.1 ppb,60 ppb
2484,Knoll Terrace Park,Total trihalomethanes (TTHMs)†,12.8 ppb,0.15 ppb,80 ppb
2485,Knoll Terrace Park,Barium,4.00 ppb,700 ppb,"2,000 ppb"
2486,Knoll Terrace Park,Chromium (total),1.000 ppb,,100 ppb
2487,Knoll Terrace Park,Fluoride,0.150 ppm,,4 ppm
2488,Knoll Terrace Park,Nitrate,0.01000 ppm,0.14 ppm,10 ppm
2489,Knoll Terrace Park,None,,,
2490,"Monroe, City of",Haloacetic acids (HAA5)†,39.5 ppb,0.1 ppb,60 ppb
2491,"Monroe, City of",Total trihalomethanes (TTHMs)†,54.3 ppb,0.15 ppb,80 ppb
2492,"Monroe, City of",None,,,
2493,North Corvallis Mobile Home Park-well #1,Haloacetic acids (HAA5)†,5.80 ppb,0.1 ppb,60 ppb
2494,North Corvallis Mobile Home Park-well #1,Total trihalomethanes (TTHMs)†,17.5 ppb,0.15 ppb,80 ppb
2495,North Corvallis Mobile Home Park-well #1,Uranium,11.39 pCi/L,0.43 pCi/L,20 pCi/L
2496,North Corvallis Mobile Home Park-well #1,Fluoride,0.150 ppm,,4 ppm
2497,North Corvallis Mobile Home Park-well #1,None,,,
2498,Pioneer Village,Arsenic,4.30 ppb,0.004 ppb,10 ppb
2499,Pioneer Village,Bromodichloromethane,3.04 ppb,0.06 ppb,
2500,Pioneer Village,Bromoform,1.70 ppb,0.5 ppb,
2501,Pioneer Village,Chloroform,3.22 ppb,0.4 ppb,
2502,Pioneer Village,Dibromoacetic acid,0.883 ppb,0.04 ppb,
2503,Pioneer Village,Dibromochloromethane,3.39 ppb,0.1 ppb,
2504,Pioneer Village,Dichloroacetic acid,0.825 ppb,0.2 ppb,
2505,Pioneer Village,Haloacetic acids (HAA5)†,1.03 ppb,0.1 ppb,60 ppb
2506,Pioneer Village,"Radium, combined (-226 &amp; -228)",1.09 pCi/L,0.05 pCi/L,5 pCi/L
2507,Pioneer Village,Total trihalomethanes (TTHMs)†,11.1 ppb,0.15 ppb,80 ppb
2508,Pioneer Village,Trichloroacetic acid,0.317 ppb,0.1 ppb,
2509,Pioneer Village,Barium,199.8 ppb,700 ppb,"2,000 ppb"
2510,Pioneer Village,Fluoride,1.01 ppm,,4 ppm
2511,Pioneer Village,None,,,
2512,Raintree Estates,Chromium (total),2.28 ppb,,100 ppb
2513,Raintree Estates,Nitrate,0.143 ppm,0.14 ppm,10 ppm
2514,Raintree Estates,Nitrate and nitrite,0.175 ppm,0.14 ppm,10 ppm
2515,Raintree Estates,None,,,
2516,Ridgewood District Improvement Company,Chromium (total),1.50 ppb,,100 ppb
2517,Ridgewood District Improvement Company,Fluoride,0.195 ppm,,4 ppm
2518,Ridgewood District Improvement Company,Nitrate,0.0217 ppm,0.14 ppm,10 ppm
2519,Ridgewood District Improvement Company,Nitrate and nitrite,0.0650 ppm,0.14 ppm,10 ppm
2520,Ridgewood District Improvement Company,None,,,
2521,Vineyard Mountain Water,Nitrate,1.26 ppm,0.14 ppm,10 ppm
2522,Vineyard Mountain Water,Nitrate and nitrite,1.13 ppm,0.14 ppm,10 ppm
2523,Vineyard Mountain Water,Total trihalomethanes (TTHMs)†,5.70 ppb,0.15 ppb,80 ppb
2524,Vineyard Mountain Water,Chromium (total),1.000 ppb,,100 ppb
2525,Vineyard Mountain Water,None,,,
2526,"Brownsville, City of",Haloacetic acids (HAA5)†,7.58 ppb,0.1 ppb,60 ppb
2527,"Brownsville, City of",Total trihalomethanes (TTHMs)†,17.0 ppb,0.15 ppb,80 ppb
2528,"Brownsville, City of",Nitrate,0.216 ppm,0.14 ppm,10 ppm
2529,"Brownsville, City of",None,,,
2530,Mill City Water Department,Nitrate,1.08 ppm,0.14 ppm,10 ppm
2531,Mill City Water Department,Nitrate and nitrite,1.07 ppm,0.14 ppm,10 ppm
2532,Mill City Water Department,Total trihalomethanes (TTHMs)†,0.183 ppb,0.15 ppb,80 ppb
2533,Mill City Water Department,None,,,
2534,City Of Millersburg,Haloacetic acids (HAA5)†,20.3 ppb,0.1 ppb,60 ppb
2535,City Of Millersburg,Haloacetic acids (HAA9)*†,23.0 ppb,0.06 ppb,
2536,City Of Millersburg,"Radium, combined (-226 &amp; -228)*",0.83 pCi/L,0.05 pCi/L,5 pCi/L
2537,City Of Millersburg,Total trihalomethanes (TTHMs)†,37.1 ppb,0.15 ppb,80 ppb
2538,City Of Millersburg,Chlorate*,93.1 ppb,210 ppb,
2539,City Of Millersburg,Chromium (hexavalent)*,0.0384 ppb,0.02 ppb,
2540,City Of Millersburg,Chromium (total)*,0.0294 ppb,,100 ppb
2541,City Of Millersburg,Manganese*,4.35 ppb,100 ppb,
2542,City Of Millersburg,Nitrate*,0.127 ppm,0.14 ppm,10 ppm
2543,City Of Millersburg,Strontium*,0.0263 ppb,"1,500 ppb",
2544,City Of Millersburg,Vanadium*,0.453 ppb,21 ppb,
2545,Buell-red Prairie Water District,Arsenic,4.80 ppb,0.004 ppb,10 ppb
2546,Buell-red Prairie Water District,Haloacetic acids (HAA5)†,18.3 ppb,0.1 ppb,60 ppb
2547,Buell-red Prairie Water District,Total trihalomethanes (TTHMs)†,30.3 ppb,0.15 ppb,80 ppb
2548,Buell-red Prairie Water District,Nitrate,0.0582 ppm,0.14 ppm,10 ppm
2549,Buell-red Prairie Water District,None,,,
2550,"Falls City, City of",Arsenic,7.02 ppb,0.004 ppb,10 ppb
2551,"Falls City, City of",Bromochloroacetic acid,1.14 ppb,0.02 ppb,
2552,"Falls City, City of",Bromodichloromethane,12.4 ppb,0.06 ppb,
2553,"Falls City, City of",Bromoform,1.19 ppb,0.5 ppb,
2554,"Falls City, City of",Chloroform,15.7 ppb,0.4 ppb,
2555,"Falls City, City of",Dibromoacetic acid,0.139 ppb,0.04 ppb,
2556,"Falls City, City of",Dibromochloromethane,8.44 ppb,0.1 ppb,
2557,"Falls City, City of",Dichloroacetic acid,2.09 ppb,0.2 ppb,
2558,"Falls City, City of",Haloacetic acids (HAA5)†,5.95 ppb,0.1 ppb,60 ppb
2559,"Falls City, City of",Nitrate and nitrite,0.502 ppm,0.14 ppm,10 ppm
2560,"Falls City, City of",Total trihalomethanes (TTHMs)†,37.8 ppb,0.15 ppb,80 ppb
2561,"Falls City, City of",Trichloroacetic acid,3.72 ppb,0.1 ppb,
2562,"Falls City, City of",Fluoride,0.846 ppm,,4 ppm
2563,"Falls City, City of",None,,,
2564,Grand Ronde Community Water Association,None,,,
2565,Orchard Heights Subdivision,"Radium, combined (-226 &amp; -228)",1.70 pCi/L,0.05 pCi/L,5 pCi/L
2566,Orchard Heights Subdivision,None,,,
2567,Perrydale Domestic Water Association,Arsenic,5.86 ppb,0.004 ppb,10 ppb
2568,Perrydale Domestic Water Association,"Radium, combined (-226 &amp; -228)",2.37 pCi/L,0.05 pCi/L,5 pCi/L
2569,Perrydale Domestic Water Association,Fluoride,0.165 ppm,,4 ppm
2570,Perrydale Domestic Water Association,Nitrate,0.163 ppm,0.14 ppm,10 ppm
2571,Perrydale Domestic Water Association,Nitrate and nitrite,0.250 ppm,0.14 ppm,10 ppm
2572,Perrydale Domestic Water Association,None,,,
2573,Pioneer Park Co-op Inc.,Nitrate,0.881 ppm,0.14 ppm,10 ppm
2574,Pioneer Park Co-op Inc.,Nitrate and nitrite,1.07 ppm,0.14 ppm,10 ppm
2575,Pioneer Park Co-op Inc.,None,,,
2576,Rickreall Water Association,Arsenic,1.50 ppb,0.004 ppb,10 ppb
2577,Rickreall Water Association,Nitrate,5.78 ppm,0.14 ppm,10 ppm
2578,Rickreall Water Association,Nitrate and nitrite,6.09 ppm,0.14 ppm,10 ppm
2579,Rickreall Water Association,"Radium, combined (-226 &amp; -228)",0.14 pCi/L,0.05 pCi/L,5 pCi/L
2580,Rickreall Water Association,Uranium,0.34 pCi/L,0.43 pCi/L,20 pCi/L
2581,Rickreall Water Association,None,,,
2582,Rock Creek Water District,Haloacetic acids (HAA5)†,21.5 ppb,0.1 ppb,60 ppb
2583,Rock Creek Water District,Nitrate,0.463 ppm,0.14 ppm,10 ppm
2584,Rock Creek Water District,Total trihalomethanes (TTHMs)†,48.9 ppb,0.15 ppb,80 ppb
2585,Rock Creek Water District,None,,,
2586,Bay Hills Water Association,Haloacetic acids (HAA5)†,31.7 ppb,0.1 ppb,60 ppb
2587,Bay Hills Water Association,Nitrate,1.14 ppm,0.14 ppm,10 ppm
2588,Bay Hills Water Association,Nitrate and nitrite,2.74 ppm,0.14 ppm,10 ppm
2589,Bay Hills Water Association,Total trihalomethanes (TTHMs)†,61.1 ppb,0.15 ppb,80 ppb
2590,Bay Hills Water Association,Barium,10.4 ppb,700 ppb,"2,000 ppb"
2591,Bay Hills Water Association,None,,,
2592,Beverly Beach Water District,Haloacetic acids (HAA5)†,8.68 ppb,0.1 ppb,60 ppb
2593,Beverly Beach Water District,Nitrate,0.374 ppm,0.14 ppm,10 ppm
2594,Beverly Beach Water District,Total trihalomethanes (TTHMs)†,43.7 ppb,0.15 ppb,80 ppb
2595,Beverly Beach Water District,None,,,
